supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week
Losartan,Paramount Medical Equipment Trading LLC,2071,Saudi German Hospital Dubai,21,1,134
Hand Sanitizer,Paramount Medical Equipment Trading LLC,3025,Emirates Hospital Dubai,17,3,746
IV Bag,Paramount Medical Equipment Trading LLC,386,Dubai Hospital,29,3,366
Atorvastatin,City Pharmacy Co.,1900,Al Zahra Hospital Dubai,30,4,171
Salbutamol,Planet Distribution,1741,NMC Royal Hospital Dubai,33,4,758
Aspirin,Paramount Medical Equipment Trading LLC,4451,Al Zahra Hospital Dubai,46,2,852
Prednisolone,AKI Pharma,3947,Emirates Hospital Dubai,48,3,909
Simvastatin,Metromed,4524,Mediclinic City Hospital Dubai,22,5,183
Disposable Gloves,Metromed,2244,NMC Royal Hospital Dubai,11,3,560
IV Bag,Al Naghi Medical,4817,Saudi German Hospital Dubai,20,3,944
Hand Sanitizer,Al Zahrawi Medical,4484,NMC Royal Hospital Dubai,10,5,628
IV Bag,Metromed,4474,Al Zahra Hospital Dubai,35,3,218
Syringe Set,MPC Healthcare,3436,American Hospital Dubai,15,1,955
Syringe Set,Paramount Medical Equipment Trading LLC,3158,NMC Royal Hospital Dubai,23,3,249
Scalpel,Gulf Drug,91,Saudi German Hospital Dubai,23,4,101
Doxycycline,Al Maqam Medical Supplies LLC,891,Mediclinic City Hospital Dubai,30,4,320
Doxycycline,Paramount Medical Equipment Trading LLC,4808,Dubai Hospital,17,4,257
Ventilator,HealthPro Distributors UAE,4733,Thumbay Hospital Dubai,46,3,905
Stethoscope,Babirus LLC,41,American Hospital Dubai,15,5,904
Drip Stand,Kiwi Medical Supplies,322,Dubai Hospital,13,2,543
Lisinopril,Babirus LLC,1849,Mediclinic City Hospital Dubai,39,5,266
Syringe Set,Paramount Medical Equipment Trading LLC,2283,NMC Royal Hospital Dubai,13,2,985
Fluconazole,Global Med UAE,2907,Al Zahra Hospital Dubai,38,3,238
Omeprazole,Paramount Medical Equipment Trading LLC,1036,Emirates Hospital Dubai,18,5,257
Thermometer,Babirus LLC,4459,Al Zahra Hospital Dubai,48,5,272
Insulin Pen,MPC Healthcare,4939,Dubai Hospital,25,3,748
Metformin,Kiwi Medical Supplies,1857,Saudi German Hospital Dubai,13,3,867
Sterile Gauze,Al Zahrawi Medical,3842,Al Zahra Hospital Dubai,16,3,580
Metronidazole,Pharma Solutions,2037,American Hospital Dubai,37,2,997
Amoxicillin,Pharma Solutions,956,Al Zahra Hospital Dubai,47,3,574
Atorvastatin,Al Naghi Medical,1159,Saudi German Hospital Dubai,23,1,781
Drip Stand,Gulf Drug,2673,Thumbay Hospital Dubai,27,1,807
Pulse Oximeter,Al Zahrawi Medical,3166,NMC Royal Hospital Dubai,41,5,637
Thermometer,Al Zahrawi Medical,878,Emirates Hospital Dubai,47,2,693
IV Bag,Al Maqam Medical Supplies LLC,1617,Dubai Hospital,41,5,386
Pantoprazole,Al Naghi Medical,2596,NMC Royal Hospital Dubai,20,3,498
Metformin,Planet Distribution,4581,Al Zahra Hospital Dubai,32,2,889
Aspirin,AKI Pharma,4865,Mediclinic City Hospital Dubai,31,4,869
Sterile Gauze,HealthPro Distributors UAE,3664,NMC Royal Hospital Dubai,42,4,944
Sterile Gauze,Al Zahrawi Medical,4794,Thumbay Hospital Dubai,25,4,614
Stethoscope,City Pharmacy Co.,1666,Al Zahra Hospital Dubai,15,5,405
Metronidazole,MPC Healthcare,524,Emirates Hospital Dubai,26,3,116
Ciprofloxacin,Global Med UAE,3265,Saudi German Hospital Dubai,26,1,670
IV Bag,Babirus LLC,561,Thumbay Hospital Dubai,32,3,419
Paracetamol,Gulf Drug,898,Al Zahra Hospital Dubai,26,3,550
Prednisolone,Planet Distribution,446,Thumbay Hospital Dubai,43,2,926
Sterile Gauze,Global Med UAE,1821,NMC Royal Hospital Dubai,40,5,156
Drip Stand,MPC Healthcare,325,Emirates Hospital Dubai,10,2,317
IV Bag,Pharma Solutions,678,Saudi German Hospital Dubai,44,3,720
Hydrochlorothiazide,Al Maqam Medical Supplies LLC,3336,Al Zahra Hospital Dubai,22,2,897
Losartan,MPC Healthcare,1183,American Hospital Dubai,43,3,670
Blood Pressure Monitor,HealthPro Distributors UAE,2992,Dubai Hospital,46,2,786
Ventilator,City Pharmacy Co.,2461,Saudi German Hospital Dubai,16,4,449
Pantoprazole,Al Naghi Medical,4143,American Hospital Dubai,48,3,274
Thermometer,Pharma Solutions,4514,Thumbay Hospital Dubai,31,2,250
Sterile Gauze,Planet Distribution,4966,Mediclinic City Hospital Dubai,40,4,282
Surgical Masks,HealthPro Distributors UAE,2305,Saudi German Hospital Dubai,42,1,555
Aspirin,Gulf Drug,272,Thumbay Hospital Dubai,15,5,328
Salbutamol,Gulf Drug,592,American Hospital Dubai,13,2,762
Levothyroxine,MPC Healthcare,661,NMC Royal Hospital Dubai,18,5,837
Metronidazole,Planet Distribution,1987,NMC Royal Hospital Dubai,14,1,657
Defibrillator,AKI Pharma,2863,Mediclinic City Hospital Dubai,46,3,436
Doxycycline,Kiwi Medical Supplies,1029,Dubai Hospital,35,5,638
Fluconazole,Gulf Drug,2915,Saudi German Hospital Dubai,43,3,135
Hydrochlorothiazide,Al Zahrawi Medical,4007,Saudi German Hospital Dubai,36,2,201
Lisinopril,Al Zahrawi Medical,3385,Saudi German Hospital Dubai,15,3,771
Scalpel,MPC Healthcare,3074,Dubai Hospital,21,3,596
Paracetamol,Paramount Medical Equipment Trading LLC,1542,Thumbay Hospital Dubai,32,2,340
Defibrillator,City Pharmacy Co.,2438,Emirates Hospital Dubai,37,5,808
Ibuprofen,City Pharmacy Co.,407,Emirates Hospital Dubai,37,3,918
Drip Stand,HealthPro Distributors UAE,2035,Mediclinic City Hospital Dubai,48,3,277
Azithromycin,Gulf Drug,4762,Saudi German Hospital Dubai,13,4,467
Levothyroxine,AKI Pharma,963,Thumbay Hospital Dubai,39,5,454
Oxygen Cylinder,Pharma Solutions,4156,NMC Royal Hospital Dubai,29,3,588
Azithromycin,Al Naghi Medical,117,American Hospital Dubai,45,4,625
Oxygen Cylinder,Metromed,3323,Thumbay Hospital Dubai,13,3,918
Defibrillator,Gulf Drug,3527,Dubai Hospital,41,5,118
Ciprofloxacin,Babirus LLC,1836,Emirates Hospital Dubai,17,2,230
Bandage Roll,Paramount Medical Equipment Trading LLC,3917,Emirates Hospital Dubai,29,3,817
Scalpel,Al Naghi Medical,4205,NMC Royal Hospital Dubai,10,3,987
Prednisolone,Kiwi Medical Supplies,1041,NMC Royal Hospital Dubai,23,3,755
Paracetamol,Babirus LLC,1388,Dubai Hospital,49,2,375
Ciprofloxacin,HealthPro Distributors UAE,4094,American Hospital Dubai,16,3,685
Hydrochlorothiazide,Global Med UAE,3310,NMC Royal Hospital Dubai,20,3,669
Scalpel,Al Maqam Medical Supplies LLC,1800,Mediclinic City Hospital Dubai,13,2,867
Ciprofloxacin,AKI Pharma,3529,American Hospital Dubai,26,3,243
Insulin Pen,City Pharmacy Co.,2717,NMC Royal Hospital Dubai,24,5,430
Metformin,Pharma Solutions,1262,Al Zahra Hospital Dubai,50,1,602
Ciprofloxacin,Al Zahrawi Medical,3339,Thumbay Hospital Dubai,22,3,958
ECG Machine,Planet Distribution,1574,NMC Royal Hospital Dubai,25,3,710
Pulse Oximeter,Babirus LLC,2900,Mediclinic City Hospital Dubai,15,3,138
Paracetamol,Paramount Medical Equipment Trading LLC,2970,Saudi German Hospital Dubai,44,1,142
Atorvastatin,Metromed,4138,NMC Royal Hospital Dubai,49,2,977
Salbutamol,HealthPro Distributors UAE,957,Emirates Hospital Dubai,38,2,910
Metformin,HealthPro Distributors UAE,2856,Emirates Hospital Dubai,20,4,184
Ibuprofen,Metromed,2526,Emirates Hospital Dubai,47,3,856
Fluconazole,Kiwi Medical Supplies,2168,Saudi German Hospital Dubai,12,2,700
Doxycycline,Paramount Medical Equipment Trading LLC,802,Emirates Hospital Dubai,30,1,391
Bandage Roll,Metromed,2483,Al Zahra Hospital Dubai,28,3,178
Omeprazole,Metromed,2102,NMC Royal Hospital Dubai,49,1,201
Doxycycline,Al Zahrawi Medical,4673,Dubai Hospital,20,2,190
Omeprazole,AKI Pharma,1667,Emirates Hospital Dubai,39,3,431
Paracetamol,Pharma Solutions,824,American Hospital Dubai,37,1,135
Fluconazole,Kiwi Medical Supplies,1003,Dubai Hospital,46,3,174
Prednisolone,HealthPro Distributors UAE,986,Saudi German Hospital Dubai,27,4,657
Hand Sanitizer,Babirus LLC,1373,Al Zahra Hospital Dubai,29,3,417
Surgical Masks,City Pharmacy Co.,4337,American Hospital Dubai,44,4,543
Metronidazole,Al Naghi Medical,1566,American Hospital Dubai,16,3,504
Bandage Roll,HealthPro Distributors UAE,1450,American Hospital Dubai,36,1,215
Fluconazole,Planet Distribution,853,American Hospital Dubai,40,2,385
Metronidazole,Al Maqam Medical Supplies LLC,1353,Dubai Hospital,42,3,797
Paracetamol,City Pharmacy Co.,4391,Dubai Hospital,34,3,196
Bandage Roll,Pharma Solutions,1915,NMC Royal Hospital Dubai,30,1,118
Pantoprazole,Paramount Medical Equipment Trading LLC,737,Emirates Hospital Dubai,31,4,800
Amoxicillin,Al Zahrawi Medical,3343,Thumbay Hospital Dubai,21,3,633
ECG Machine,City Pharmacy Co.,2840,NMC Royal Hospital Dubai,17,4,875
Insulin Pen,Global Med UAE,2509,NMC Royal Hospital Dubai,18,4,520
IV Bag,Al Naghi Medical,3197,Al Zahra Hospital Dubai,46,2,522
Wheelchair,Kiwi Medical Supplies,1077,Al Zahra Hospital Dubai,22,4,763
Insulin Pen,Kiwi Medical Supplies,4831,Emirates Hospital Dubai,28,1,397
Defibrillator,HealthPro Distributors UAE,2139,Thumbay Hospital Dubai,18,3,961
Scalpel,Pharma Solutions,4531,Al Zahra Hospital Dubai,43,2,382
Salbutamol,MPC Healthcare,4089,Emirates Hospital Dubai,36,5,526
Surgical Masks,Al Zahrawi Medical,822,Emirates Hospital Dubai,21,5,633
Paracetamol,Pharma Solutions,1177,Dubai Hospital,11,5,231
Ventilator,Al Maqam Medical Supplies LLC,1165,Mediclinic City Hospital Dubai,39,3,591
Aspirin,Babirus LLC,2648,Dubai Hospital,20,3,443
Omeprazole,Al Naghi Medical,2283,Thumbay Hospital Dubai,47,3,556
Syringe Set,Pharma Solutions,2259,Al Zahra Hospital Dubai,24,3,133
Amoxicillin,Babirus LLC,1388,Thumbay Hospital Dubai,11,3,460
IV Bag,Paramount Medical Equipment Trading LLC,3225,NMC Royal Hospital Dubai,14,4,347
Fluconazole,Al Zahrawi Medical,1568,NMC Royal Hospital Dubai,12,3,149
Thermometer,Paramount Medical Equipment Trading LLC,4422,Thumbay Hospital Dubai,34,4,148
Hand Sanitizer,HealthPro Distributors UAE,4026,Mediclinic City Hospital Dubai,42,2,686
Wheelchair,Planet Distribution,4998,Mediclinic City Hospital Dubai,21,3,504
Pantoprazole,Babirus LLC,2171,Dubai Hospital,33,3,556
Simvastatin,Metromed,3954,Thumbay Hospital Dubai,44,3,869
Ibuprofen,Global Med UAE,878,Al Zahra Hospital Dubai,50,3,132
Disposable Gloves,City Pharmacy Co.,4137,Dubai Hospital,12,2,273
Ibuprofen,Planet Distribution,3150,Saudi German Hospital Dubai,19,4,774
Atorvastatin,Metromed,3222,Mediclinic City Hospital Dubai,12,3,586
Losartan,Al Naghi Medical,1984,American Hospital Dubai,35,5,744
Thermometer,MPC Healthcare,922,Dubai Hospital,23,4,259
Oxygen Cylinder,Gulf Drug,3613,NMC Royal Hospital Dubai,19,2,510
Hydrochlorothiazide,Al Zahrawi Medical,4985,Dubai Hospital,19,3,960
Amoxicillin,Al Maqam Medical Supplies LLC,4137,Thumbay Hospital Dubai,10,4,407
Simvastatin,Kiwi Medical Supplies,2759,American Hospital Dubai,40,2,213
Paracetamol,Babirus LLC,4552,Thumbay Hospital Dubai,26,2,288
Levothyroxine,Paramount Medical Equipment Trading LLC,2833,Emirates Hospital Dubai,21,3,624
Aspirin,Al Zahrawi Medical,3817,NMC Royal Hospital Dubai,33,1,225
Losartan,Babirus LLC,403,NMC Royal Hospital Dubai,16,1,996
Amoxicillin,Planet Distribution,4666,Mediclinic City Hospital Dubai,17,4,257
Stethoscope,City Pharmacy Co.,4268,Dubai Hospital,25,3,995
Surgical Masks,City Pharmacy Co.,1228,Mediclinic City Hospital Dubai,17,2,969
Doxycycline,AKI Pharma,632,American Hospital Dubai,14,3,460
Losartan,Planet Distribution,3419,Dubai Hospital,22,2,571
Simvastatin,Al Zahrawi Medical,2271,Emirates Hospital Dubai,43,3,898
Hydrochlorothiazide,Al Naghi Medical,1532,Thumbay Hospital Dubai,13,1,531
Pantoprazole,HealthPro Distributors UAE,3865,Emirates Hospital Dubai,38,3,474
Disposable Gloves,Global Med UAE,176,NMC Royal Hospital Dubai,30,4,975
Surgical Scissors,Babirus LLC,1701,American Hospital Dubai,28,4,133
Ciprofloxacin,Metromed,4617,Saudi German Hospital Dubai,28,3,200
Ventilator,HealthPro Distributors UAE,4626,American Hospital Dubai,11,3,872
Fluconazole,Kiwi Medical Supplies,1549,Al Zahra Hospital Dubai,12,2,799
Scalpel,Metromed,1744,American Hospital Dubai,23,3,216
Pantoprazole,Al Naghi Medical,1397,Emirates Hospital Dubai,41,3,770
Levothyroxine,Global Med UAE,4601,Al Zahra Hospital Dubai,25,5,285
Ibuprofen,Planet Distribution,796,Al Zahra Hospital Dubai,30,3,338
Syringe Set,City Pharmacy Co.,2037,Dubai Hospital,11,1,392
Hand Sanitizer,Pharma Solutions,2094,Dubai Hospital,34,1,271
Paracetamol,Paramount Medical Equipment Trading LLC,4715,Al Zahra Hospital Dubai,15,1,369
Fluconazole,Gulf Drug,3599,Saudi German Hospital Dubai,31,4,837
Pulse Oximeter,Al Zahrawi Medical,4567,Dubai Hospital,45,4,508
Levothyroxine,HealthPro Distributors UAE,3945,American Hospital Dubai,46,3,220
ECG Machine,Kiwi Medical Supplies,818,Emirates Hospital Dubai,24,4,677
Ventilator,Global Med UAE,1784,American Hospital Dubai,29,2,327
Amoxicillin,AKI Pharma,3541,Saudi German Hospital Dubai,42,5,708
ECG Machine,Babirus LLC,4238,NMC Royal Hospital Dubai,18,5,854
Insulin Pen,Al Maqam Medical Supplies LLC,3988,Mediclinic City Hospital Dubai,33,4,310
Ibuprofen,Paramount Medical Equipment Trading LLC,308,Emirates Hospital Dubai,30,3,259
Defibrillator,Global Med UAE,1465,Dubai Hospital,11,2,494
Metformin,Paramount Medical Equipment Trading LLC,4924,Emirates Hospital Dubai,21,3,487
Ibuprofen,Metromed,3112,American Hospital Dubai,41,3,338
Bandage Roll,Kiwi Medical Supplies,1268,Mediclinic City Hospital Dubai,50,4,476
Drip Stand,Kiwi Medical Supplies,4896,Thumbay Hospital Dubai,16,3,924
Prednisolone,City Pharmacy Co.,4521,Thumbay Hospital Dubai,34,3,258
Salbutamol,Metromed,4608,Dubai Hospital,37,3,285
Scalpel,Kiwi Medical Supplies,4104,Saudi German Hospital Dubai,47,5,143
Thermometer,Kiwi Medical Supplies,90,Thumbay Hospital Dubai,15,3,265
Hydrochlorothiazide,Al Maqam Medical Supplies LLC,1158,Emirates Hospital Dubai,15,3,283
Ibuprofen,MPC Healthcare,2343,Thumbay Hospital Dubai,12,3,510
Amoxicillin,Al Naghi Medical,3658,NMC Royal Hospital Dubai,42,1,802
Metformin,Planet Distribution,3978,NMC Royal Hospital Dubai,11,3,599
Hydrochlorothiazide,Babirus LLC,3026,Dubai Hospital,31,3,390
Wheelchair,Al Naghi Medical,2179,NMC Royal Hospital Dubai,46,5,850
Atorvastatin,MPC Healthcare,1406,Thumbay Hospital Dubai,23,3,992
Surgical Scissors,Kiwi Medical Supplies,2664,Saudi German Hospital Dubai,29,3,924
Doxycycline,Al Maqam Medical Supplies LLC,3187,Al Zahra Hospital Dubai,29,3,970
Paracetamol,Metromed,3845,Al Zahra Hospital Dubai,25,3,894
Hand Sanitizer,Babirus LLC,991,Dubai Hospital,10,3,333
Lisinopril,Paramount Medical Equipment Trading LLC,4987,Mediclinic City Hospital Dubai,28,3,742
Omeprazole,Babirus LLC,989,Al Zahra Hospital Dubai,45,3,576
Hand Sanitizer,Babirus LLC,4130,Al Zahra Hospital Dubai,16,3,365
Levothyroxine,Al Naghi Medical,849,NMC Royal Hospital Dubai,46,3,366
Metronidazole,Al Maqam Medical Supplies LLC,4616,NMC Royal Hospital Dubai,46,3,469
Simvastatin,Global Med UAE,1925,Thumbay Hospital Dubai,16,4,502
Amoxicillin,Planet Distribution,514,Dubai Hospital,32,2,875
Metronidazole,Metromed,1875,Mediclinic City Hospital Dubai,30,4,844
Wheelchair,Gulf Drug,2798,Dubai Hospital,25,5,562
Wheelchair,HealthPro Distributors UAE,1044,American Hospital Dubai,17,3,689
Simvastatin,Kiwi Medical Supplies,895,Emirates Hospital Dubai,33,3,437
Pulse Oximeter,Al Naghi Medical,1307,Mediclinic City Hospital Dubai,36,4,452
Ventilator,AKI Pharma,4920,Mediclinic City Hospital Dubai,29,3,406
IV Bag,Al Zahrawi Medical,890,Saudi German Hospital Dubai,13,2,378
Aspirin,Al Zahrawi Medical,4225,Dubai Hospital,48,3,470
Ventilator,AKI Pharma,3050,Thumbay Hospital Dubai,31,2,557
Prednisolone,MPC Healthcare,805,Saudi German Hospital Dubai,49,1,357
Thermometer,City Pharmacy Co.,4906,Mediclinic City Hospital Dubai,12,3,320
Hand Sanitizer,AKI Pharma,3384,Mediclinic City Hospital Dubai,50,4,636
Hand Sanitizer,Paramount Medical Equipment Trading LLC,887,Mediclinic City Hospital Dubai,35,5,931
Amoxicillin,Global Med UAE,1027,Al Zahra Hospital Dubai,19,3,115
Fluconazole,City Pharmacy Co.,2373,Dubai Hospital,10,4,769
Azithromycin,Al Maqam Medical Supplies LLC,2673,Emirates Hospital Dubai,16,2,278
Fluconazole,AKI Pharma,4179,Emirates Hospital Dubai,11,4,797
Paracetamol,Babirus LLC,3479,Saudi German Hospital Dubai,38,3,160
Hydrochlorothiazide,HealthPro Distributors UAE,2084,Mediclinic City Hospital Dubai,16,3,297
Drip Stand,Al Naghi Medical,951,Emirates Hospital Dubai,42,3,598
Levothyroxine,Planet Distribution,3734,NMC Royal Hospital Dubai,42,1,228
Atorvastatin,Kiwi Medical Supplies,1248,Dubai Hospital,17,3,729
Prednisolone,MPC Healthcare,1941,Emirates Hospital Dubai,29,5,195
Omeprazole,Babirus LLC,2403,Thumbay Hospital Dubai,35,3,186
Amoxicillin,Al Zahrawi Medical,105,Dubai Hospital,21,1,455
Pulse Oximeter,Metromed,459,Thumbay Hospital Dubai,26,1,673
Drip Stand,Al Maqam Medical Supplies LLC,2405,Emirates Hospital Dubai,48,2,453
Bandage Roll,Al Naghi Medical,1341,NMC Royal Hospital Dubai,29,2,572
Ventilator,Babirus LLC,903,Thumbay Hospital Dubai,46,2,401
Blood Pressure Monitor,Metromed,4031,Al Zahra Hospital Dubai,35,3,996
Bandage Roll,HealthPro Distributors UAE,207,Emirates Hospital Dubai,25,3,438
Surgical Scissors,Planet Distribution,4660,Al Zahra Hospital Dubai,14,2,510
Sterile Gauze,Global Med UAE,1959,Emirates Hospital Dubai,17,1,655
ECG Machine,City Pharmacy Co.,1476,American Hospital Dubai,18,3,201
ECG Machine,MPC Healthcare,1152,American Hospital Dubai,11,3,275
Defibrillator,Global Med UAE,2654,American Hospital Dubai,36,4,701
Bandage Roll,Al Maqam Medical Supplies LLC,4482,Thumbay Hospital Dubai,45,4,173
Wheelchair,Planet Distribution,2262,Al Zahra Hospital Dubai,33,2,437
ECG Machine,Paramount Medical Equipment Trading LLC,555,Al Zahra Hospital Dubai,37,3,237
ECG Machine,Al Maqam Medical Supplies LLC,2544,Al Zahra Hospital Dubai,32,4,992
Paracetamol,Pharma Solutions,3456,NMC Royal Hospital Dubai,11,4,687
Pantoprazole,Metromed,2297,Al Zahra Hospital Dubai,35,3,875
Insulin Pen,Kiwi Medical Supplies,3487,NMC Royal Hospital Dubai,10,3,887
Salbutamol,Al Maqam Medical Supplies LLC,3001,American Hospital Dubai,15,5,940
Lisinopril,Al Maqam Medical Supplies LLC,218,American Hospital Dubai,26,3,984
Surgical Scissors,AKI Pharma,4193,Thumbay Hospital Dubai,33,2,508
Surgical Masks,Gulf Drug,1413,Emirates Hospital Dubai,26,3,480
Oxygen Cylinder,MPC Healthcare,3605,American Hospital Dubai,48,5,852
Defibrillator,Al Naghi Medical,1701,Emirates Hospital Dubai,24,2,704
ECG Machine,Pharma Solutions,3380,Emirates Hospital Dubai,19,4,378
Atorvastatin,Global Med UAE,1821,Dubai Hospital,41,1,789
Metronidazole,HealthPro Distributors UAE,2366,Thumbay Hospital Dubai,23,2,489
Ibuprofen,HealthPro Distributors UAE,3121,Mediclinic City Hospital Dubai,13,3,967
Surgical Scissors,Planet Distribution,4613,Mediclinic City Hospital Dubai,32,3,141
Drip Stand,Al Zahrawi Medical,972,Saudi German Hospital Dubai,34,4,271
Atorvastatin,Planet Distribution,2242,Dubai Hospital,37,3,918
Pantoprazole,Pharma Solutions,3142,Thumbay Hospital Dubai,28,3,986
Hand Sanitizer,Al Naghi Medical,4744,Saudi German Hospital Dubai,49,3,892
Omeprazole,HealthPro Distributors UAE,1084,Saudi German Hospital Dubai,28,3,550
Salbutamol,Al Maqam Medical Supplies LLC,4761,Dubai Hospital,28,2,822
Syringe Set,HealthPro Distributors UAE,3103,Mediclinic City Hospital Dubai,23,1,640
Syringe Set,City Pharmacy Co.,2697,Thumbay Hospital Dubai,20,4,951
ECG Machine,Al Naghi Medical,1070,Mediclinic City Hospital Dubai,28,5,675
Paracetamol,Babirus LLC,2990,Saudi German Hospital Dubai,17,3,489
ECG Machine,Al Naghi Medical,4734,Thumbay Hospital Dubai,32,3,750
Lisinopril,HealthPro Distributors UAE,2830,Saudi German Hospital Dubai,18,5,222
Sterile Gauze,HealthPro Distributors UAE,2286,Al Zahra Hospital Dubai,20,3,822
Bandage Roll,Pharma Solutions,514,Dubai Hospital,12,4,840
Levothyroxine,Al Naghi Medical,1187,Emirates Hospital Dubai,45,2,439
Syringe Set,AKI Pharma,4524,Thumbay Hospital Dubai,32,3,111
Ventilator,Paramount Medical Equipment Trading LLC,4554,Thumbay Hospital Dubai,29,3,841
Aspirin,Al Maqam Medical Supplies LLC,4303,Emirates Hospital Dubai,50,5,343
Drip Stand,Pharma Solutions,3002,Saudi German Hospital Dubai,41,3,726
Stethoscope,Al Maqam Medical Supplies LLC,4303,Al Zahra Hospital Dubai,25,3,972
Fluconazole,Kiwi Medical Supplies,1861,NMC Royal Hospital Dubai,41,4,737
Amoxicillin,MPC Healthcare,3714,Emirates Hospital Dubai,14,3,269
Levothyroxine,Paramount Medical Equipment Trading LLC,3286,Dubai Hospital,46,3,231
Surgical Masks,Metromed,3301,Mediclinic City Hospital Dubai,11,2,829
Pantoprazole,Planet Distribution,1043,Saudi German Hospital Dubai,27,1,213
IV Bag,Al Maqam Medical Supplies LLC,1589,Emirates Hospital Dubai,34,5,658
Ibuprofen,MPC Healthcare,1849,Emirates Hospital Dubai,25,3,652
Surgical Masks,Global Med UAE,1833,Thumbay Hospital Dubai,24,3,332
Azithromycin,Paramount Medical Equipment Trading LLC,3692,Mediclinic City Hospital Dubai,20,3,309
Stethoscope,Kiwi Medical Supplies,1495,Mediclinic City Hospital Dubai,50,3,293
ECG Machine,Kiwi Medical Supplies,3607,Dubai Hospital,38,2,906
Syringe Set,Babirus LLC,3716,Mediclinic City Hospital Dubai,46,5,572
Surgical Masks,Al Zahrawi Medical,774,Emirates Hospital Dubai,46,4,640
Ventilator,Kiwi Medical Supplies,4418,NMC Royal Hospital Dubai,12,3,720
Atorvastatin,Pharma Solutions,304,American Hospital Dubai,49,1,757
Sterile Gauze,HealthPro Distributors UAE,280,Saudi German Hospital Dubai,19,3,287
Omeprazole,Pharma Solutions,2656,American Hospital Dubai,20,3,357
Fluconazole,Gulf Drug,995,Emirates Hospital Dubai,35,3,556
Paracetamol,HealthPro Distributors UAE,2621,American Hospital Dubai,10,3,922
Surgical Masks,MPC Healthcare,4746,Emirates Hospital Dubai,11,1,572
Paracetamol,Pharma Solutions,3378,American Hospital Dubai,11,5,461
Metformin,Planet Distribution,1058,Mediclinic City Hospital Dubai,20,3,300
Simvastatin,AKI Pharma,4009,Al Zahra Hospital Dubai,46,5,542
Salbutamol,Global Med UAE,116,Mediclinic City Hospital Dubai,18,4,566
Thermometer,MPC Healthcare,2321,Mediclinic City Hospital Dubai,12,4,851
Salbutamol,MPC Healthcare,4500,Dubai Hospital,32,3,312
Wheelchair,Al Naghi Medical,2341,Thumbay Hospital Dubai,41,3,129
Atorvastatin,Pharma Solutions,3465,Thumbay Hospital Dubai,28,4,224
Defibrillator,Al Zahrawi Medical,232,American Hospital Dubai,17,3,171
Pulse Oximeter,Planet Distribution,3158,Emirates Hospital Dubai,31,4,555
Pantoprazole,Al Maqam Medical Supplies LLC,3028,Dubai Hospital,33,5,322
Bandage Roll,Babirus LLC,2894,Mediclinic City Hospital Dubai,36,5,233
Bandage Roll,Al Maqam Medical Supplies LLC,78,Dubai Hospital,50,4,465
Metronidazole,Planet Distribution,1227,American Hospital Dubai,49,5,778
Azithromycin,Metromed,2000,Thumbay Hospital Dubai,17,2,699
Ventilator,Al Maqam Medical Supplies LLC,321,Al Zahra Hospital Dubai,10,4,853
Omeprazole,Global Med UAE,4169,Saudi German Hospital Dubai,13,3,456
Oxygen Cylinder,AKI Pharma,2319,American Hospital Dubai,31,3,877
Aspirin,Al Maqam Medical Supplies LLC,4527,Dubai Hospital,23,2,894
Scalpel,HealthPro Distributors UAE,210,Al Zahra Hospital Dubai,26,5,802
Losartan,MPC Healthcare,3937,Saudi German Hospital Dubai,36,5,678
Disposable Gloves,Planet Distribution,65,NMC Royal Hospital Dubai,23,2,180
Scalpel,AKI Pharma,698,American Hospital Dubai,11,3,137
Surgical Masks,Paramount Medical Equipment Trading LLC,4570,American Hospital Dubai,14,3,954
Simvastatin,City Pharmacy Co.,1499,NMC Royal Hospital Dubai,36,4,565
Simvastatin,Al Naghi Medical,477,NMC Royal Hospital Dubai,21,2,957
Hand Sanitizer,Al Maqam Medical Supplies LLC,2820,American Hospital Dubai,26,4,512
Oxygen Cylinder,Metromed,437,NMC Royal Hospital Dubai,38,4,399
Levothyroxine,Pharma Solutions,2853,Mediclinic City Hospital Dubai,48,3,540
Thermometer,HealthPro Distributors UAE,2393,Saudi German Hospital Dubai,31,1,911
Metformin,Al Maqam Medical Supplies LLC,579,Saudi German Hospital Dubai,40,2,749
Surgical Masks,Gulf Drug,899,Saudi German Hospital Dubai,15,5,327
Levothyroxine,Global Med UAE,1106,Mediclinic City Hospital Dubai,40,3,151
Surgical Masks,Kiwi Medical Supplies,43,Emirates Hospital Dubai,17,4,488
Stethoscope,Global Med UAE,3560,NMC Royal Hospital Dubai,25,2,428
Pulse Oximeter,AKI Pharma,2691,Al Zahra Hospital Dubai,29,5,778
Levothyroxine,Global Med UAE,51,NMC Royal Hospital Dubai,29,2,378
Omeprazole,Kiwi Medical Supplies,819,American Hospital Dubai,36,3,878
Stethoscope,Al Maqam Medical Supplies LLC,1992,Thumbay Hospital Dubai,17,3,155
Stethoscope,Babirus LLC,1991,Dubai Hospital,33,3,989
Metronidazole,Planet Distribution,4594,Dubai Hospital,30,3,387
Surgical Masks,Paramount Medical Equipment Trading LLC,3337,Saudi German Hospital Dubai,19,1,447
Amoxicillin,Planet Distribution,1264,NMC Royal Hospital Dubai,21,2,824
Azithromycin,HealthPro Distributors UAE,4343,Al Zahra Hospital Dubai,40,4,562
Azithromycin,Al Naghi Medical,273,American Hospital Dubai,48,1,649
