supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week,hashcode
Aspirin,Gulf Drug,11065.0,Saudi German Hospital Dubai,25,2,942,21a85414d35d980a5bfa881f971a45a4
Sterile Gauze,HealthPro Distributors UAE,4995.0,American Hospital Dubai,38,3,658,28bdb0be37efe3b16e115d82a5b22b0b
Syringe Set,Gulf Drug,23105.0,Emirates Hospital Dubai,16,4,799,d41eec84dd301ee41b060a81eefc7d9d
Sterile Gauze,Al Maqam Medical Supplies LLC,4176.0,Al Zahra Hospital Dubai,12,2,334,28008137fb96adf8953b826e177a04f5
Ibuprofen,Metromed,4050.0,Emirates Hospital Dubai,23,3,100,97f9048eb8f522c1ea49bea30ab4be37
Fluconazole,MPC Healthcare,8817.0,American Hospital Dubai,13,2,631,f9c75b86a611b0abf2acf3a690debb8f
Metformin,MPC Healthcare,12509.0,NMC Royal Hospital Dubai,43,1,850,9df1af31a9586a19b977c6aca643a75e
Scalpel,Planet Distribution,3644.0,American Hospital Dubai,50,3,120,e37e936df5b8ca79460892730e2b2942
Hand Sanitizer,Al Naghi Medical,4311.0,Thumbay Hospital Dubai,12,3,617,29d1995ff6c2ebf394162eeb6d217efc
Prednisolone,Al Zahrawi Medical,6139.0,American Hospital Dubai,41,2,679,f9d5968140743f0e4cc90bacb227b3ad
Metformin,Global Med UAE,14505.0,American Hospital Dubai,29,4,834,2978469f2d9bf93ce2ebda992ad149e5
Ibuprofen,Babirus LLC,2488.0,Thumbay Hospital Dubai,34,2,119,c27cd3c42d6f063f31572f8d4722336c
IV Bag,Kiwi Medical Supplies,13613.0,Saudi German Hospital Dubai,43,2,219,15a8ed46894e4a9452b63d787e62ccba
Stethoscope,AKI Pharma,4572.0,Dubai Hospital,38,1,341,49fa4c111fec57e30591656fff5c19e2
Pulse Oximeter,Metromed,3301.0,American Hospital Dubai,50,3,453,5f61d962a95eb847ea3b4e7b7fb9e0e8
Oxygen Cylinder,Paramount Medical Equipment Trading LLC,1054.0,Thumbay Hospital Dubai,13,3,316,9420b231ad58ac20421006eb7af0060d
Lisinopril,Planet Distribution,11908.0,Al Zahra Hospital Dubai,43,2,888,75c43650a45ded123552599a705986c0
Syringe Set,Babirus LLC,24046.0,NMC Royal Hospital Dubai,33,4,190,5883707499b02438eb4b631b249aa48a
Insulin Pen,MPC Healthcare,3318.0,NMC Royal Hospital Dubai,17,5,846,6b7bf9be8f03f8e1f2231b63b1fe8a2c
Prednisolone,Global Med UAE,7891.0,American Hospital Dubai,29,3,204,9244a2603a5895aeaa095e4ef44bf07c
Doxycycline,Global Med UAE,7206.0,Saudi German Hospital Dubai,31,3,904,a4c463979ce124aa72c902746e2061df
IV Bag,Al Zahrawi Medical,12368.0,Saudi German Hospital Dubai,35,3,819,69d7dd5db428c4cfc24322f615f8bd58
Syringe Set,Planet Distribution,23088.0,Al Zahra Hospital Dubai,44,1,139,4d64382d08f9c405988307975ec98233
Pulse Oximeter,Kiwi Medical Supplies,2724.0,American Hospital Dubai,17,4,832,3457454959920944a87f3b1487b5b4a6
Bandage Roll,Planet Distribution,3320.0,NMC Royal Hospital Dubai,34,3,274,b74222cfb0b588900cfc1728b6528b60
Amoxicillin,Pharma Solutions,14689.0,Saudi German Hospital Dubai,13,3,205,ae49a8a1643d99c73d2e7814c3e1f7b7
IV Bag,Global Med UAE,14683.0,American Hospital Dubai,23,1,741,1ebeac7d4ce7ec2065dc07f158b3cd57
Oxygen Cylinder,Metromed,2137.0,Emirates Hospital Dubai,31,4,837,5cb07e99ea64eb6b88e55b894576baf8
Prednisolone,Al Naghi Medical,8051.0,Saudi German Hospital Dubai,21,3,121,4731acc317c4c7fd0bcb0b0fcde57be4
Salbutamol,Paramount Medical Equipment Trading LLC,6543.0,Thumbay Hospital Dubai,29,5,994,12431a179b7e9c7172be1abd0865c2e6
Salbutamol,Gulf Drug,8266.0,Emirates Hospital Dubai,39,5,139,0778858052ae2a219c4f05f757cd62e0
Salbutamol,Al Zahrawi Medical,6893.0,Dubai Hospital,40,4,830,5f9528dca6e0d019da1c39582a3f25f6
IV Bag,Metromed,12046.0,Saudi German Hospital Dubai,45,2,614,e8dc7f4983cfcaf8e3f7b8f389d9b704
Lisinopril,Al Zahrawi Medical,11630.0,NMC Royal Hospital Dubai,48,3,612,195fa227a9718e8dca2953ab838e949e
Surgical Scissors,AKI Pharma,192.0,Mediclinic City Hospital Dubai,49,3,660,3d8ec69512f6fb928b04e857cda3f2a3
Blood Pressure Monitor,City Pharmacy Co.,3463.0,Emirates Hospital Dubai,23,3,546,f1fc74224c64ff46fd6521447f0777f3
Metformin,Gulf Drug,10729.0,Dubai Hospital,21,1,343,e29b28c690f558b93f1b93b1645e10a1
Doxycycline,AKI Pharma,9467.0,Al Zahra Hospital Dubai,28,2,338,3622a8e119e84920077f18285ce8d8c2
Sterile Gauze,Global Med UAE,4678.0,Al Zahra Hospital Dubai,44,4,949,5b8738f2b107dbb1a5628c6acaae4c66
Salbutamol,Planet Distribution,6732.0,NMC Royal Hospital Dubai,26,2,492,ca0c9b668e204780bfde6f6bd5d57cfe
Simvastatin,HealthPro Distributors UAE,8018.0,Saudi German Hospital Dubai,38,1,331,388e794b070c4790ccc77f5e48867159
Aspirin,Kiwi Medical Supplies,12326.0,American Hospital Dubai,33,3,870,a08c84d0635fb46e5a9db71a18c2d66f
Thermometer,Global Med UAE,9383.0,Saudi German Hospital Dubai,25,3,722,18488a1bc5cd8c4fc9e9d5e79b1963e2
Azithromycin,Al Maqam Medical Supplies LLC,12514.0,NMC Royal Hospital Dubai,20,3,672,da8d134783401a14f6bbd92480cb29b7
Disposable Gloves,Paramount Medical Equipment Trading LLC,8409.0,Al Zahra Hospital Dubai,18,3,245,9f51aa00fc95fefc2c09a1a3895aac5f
Losartan,Kiwi Medical Supplies,1833.0,Saudi German Hospital Dubai,32,2,916,63488bf452329bee7da01464614f0ee5
Lisinopril,Metromed,7830.0,Al Zahra Hospital Dubai,37,3,288,4f3525654a9448d507832667cc5cd665
Syringe Set,Kiwi Medical Supplies,21704.0,Emirates Hospital Dubai,28,5,862,535e22646365542fd05c7f5ac4030ff5
Lisinopril,Gulf Drug,11580.0,Dubai Hospital,29,2,424,e2c8621d0ad5c88c2977d1b8a19a2ef2
Ventilator,Global Med UAE,4502.0,American Hospital Dubai,50,3,810,b3d56a4a6d4ae9857625fec26eab0fdc
Doxycycline,Metromed,7801.0,Emirates Hospital Dubai,35,3,222,47071988156119071b6fd5e0b3450f2e
Doxycycline,Al Naghi Medical,6242.0,Al Zahra Hospital Dubai,15,3,228,fee85554d5d7e93ccc120e65b9dac1e7
Paracetamol,Kiwi Medical Supplies,17914.0,Al Zahra Hospital Dubai,17,1,343,611d61d7e479b33617387717136e6752
Ibuprofen,Paramount Medical Equipment Trading LLC,2981.0,Mediclinic City Hospital Dubai,21,2,339,51ae1e3f0cfa2cda4642915fc9fbe2ed
Pantoprazole,Babirus LLC,3470.0,Mediclinic City Hospital Dubai,31,5,239,9a6e0e30a6f6d1a9cb5090d819fa4841
Losartan,MPC Healthcare,4582.0,Emirates Hospital Dubai,22,2,804,4ff2329bbd7906d386a76ee0d61d24d4
Scalpel,Kiwi Medical Supplies,3912.0,Thumbay Hospital Dubai,47,4,820,75c9fa74b67dcd4f51003215309114ba
Atorvastatin,Gulf Drug,5187.0,Emirates Hospital Dubai,16,2,404,97f015f67d87af93cfe486e50107a892
Defibrillator,Paramount Medical Equipment Trading LLC,1274.0,Mediclinic City Hospital Dubai,11,2,277,e9c4f2ad1abf66ef3c44a3285bbe5773
Ibuprofen,Al Zahrawi Medical,2543.0,Al Zahra Hospital Dubai,43,2,113,88b5adcfcb7cdc20fec310215e3debcf
Hand Sanitizer,Gulf Drug,3034.0,NMC Royal Hospital Dubai,10,3,691,d5b96251fae2b0601d978775a25c9961
Surgical Scissors,Global Med UAE,2850.0,Emirates Hospital Dubai,36,3,777,a2c9230d1a234dc39cb45b9be9af9e1e
Aspirin,Planet Distribution,12621.0,Al Zahra Hospital Dubai,39,2,575,d7024141ab82a1ec544ffdfec87aa618
Blood Pressure Monitor,HealthPro Distributors UAE,4501.0,NMC Royal Hospital Dubai,41,3,738,01083e4d11a662b8bb15ce2b8ea38d3f
Amoxicillin,Paramount Medical Equipment Trading LLC,13770.0,NMC Royal Hospital Dubai,31,4,318,201286831817bc1917502854beb2b98f
Bandage Roll,City Pharmacy Co.,1375.0,Mediclinic City Hospital Dubai,34,5,765,a9a7f8c7361ab843434f8aa6b5d93925
Aspirin,Kiwi Medical Supplies,11131.0,Emirates Hospital Dubai,50,3,484,54421673cd307b3b214d403e374b2a5c
Ventilator,Gulf Drug,3158.0,Saudi German Hospital Dubai,27,3,557,e7fc87be607ebb99478fce53937e5904
Surgical Scissors,Kiwi Medical Supplies,3345.0,American Hospital Dubai,12,3,697,3ed2a65d5b3d677e79b30167650d8034
Simvastatin,Al Maqam Medical Supplies LLC,11075.0,Mediclinic City Hospital Dubai,20,3,600,c0526fe7b6d50fe15c403e862330ac0f
Pulse Oximeter,MPC Healthcare,4328.0,Mediclinic City Hospital Dubai,39,3,757,250204662e062f43189e8cdfb7033c43
ECG Machine,Babirus LLC,3348.0,Saudi German Hospital Dubai,50,2,234,fdd952a3f43c1b889d9368451d28bc34
Prednisolone,MPC Healthcare,6499.0,American Hospital Dubai,28,3,864,0cf206c08e5a3629cef499e5cfcf184b
Hand Sanitizer,Pharma Solutions,1074.0,Al Zahra Hospital Dubai,23,2,469,6cb948d4dc07f918c2433b3b767a1289
Salbutamol,Pharma Solutions,7904.0,Thumbay Hospital Dubai,34,3,575,ed9bd3da1396c63e5359a70f13101728
Thermometer,AKI Pharma,6079.0,Emirates Hospital Dubai,32,3,198,68547ade596d7889ad7a646631994dfe
Atorvastatin,Al Maqam Medical Supplies LLC,6610.0,Thumbay Hospital Dubai,45,4,440,45ecbcd95753b05ca40c3a37b340d8f1
Wheelchair,Al Zahrawi Medical,2794.0,Al Zahra Hospital Dubai,16,3,604,2abee2805db3eaa31470437057253f9a
Amoxicillin,Planet Distribution,16969.0,Dubai Hospital,28,5,241,6d642da9a34ac61ea10b2d9b575a77fa
Losartan,Al Naghi Medical,1617.0,Mediclinic City Hospital Dubai,25,3,547,9970ca7965a7337bf88cf196b4889921
Surgical Scissors,Al Maqam Medical Supplies LLC,3989.0,American Hospital Dubai,27,3,795,7eb423bd066c737b4834ac78611a2476
Disposable Gloves,Paramount Medical Equipment Trading LLC,9731.0,Mediclinic City Hospital Dubai,27,2,990,ba31f075e45730d4885606dbff72e36a
Aspirin,HealthPro Distributors UAE,8335.0,NMC Royal Hospital Dubai,10,2,695,eee56db824179c8ba27ee8f2bcd43546
Atorvastatin,Pharma Solutions,3879.0,Mediclinic City Hospital Dubai,19,3,357,029c6e4aebb16b4ea2d233ed2e275ac2
Insulin Pen,Gulf Drug,2639.0,Mediclinic City Hospital Dubai,27,2,612,35b1b08cab85874da9460404a6004ca1
Thermometer,Al Naghi Medical,6044.0,Al Zahra Hospital Dubai,35,4,773,73e482c9eb889bbd3128979bc31c26ef
Metformin,Global Med UAE,10614.0,Al Zahra Hospital Dubai,15,4,908,2aa3746db954d874586a97eef31f0f06
Wheelchair,Babirus LLC,2597.0,Al Zahra Hospital Dubai,40,1,474,b3e96099e5e34122e409c66cc5f72d1f
Atorvastatin,Al Maqam Medical Supplies LLC,5738.0,Thumbay Hospital Dubai,16,4,717,c6cbab53fbfac0a70ea7a6e36d6757ad
Wheelchair,Paramount Medical Equipment Trading LLC,4352.0,NMC Royal Hospital Dubai,47,1,349,a82e4ddb8a29c3d77853e6719a7ce6dd
Azithromycin,Planet Distribution,11941.0,Dubai Hospital,25,2,437,43fb137cfd9c79218331041cac03bbd9
Aspirin,Paramount Medical Equipment Trading LLC,12438.0,Dubai Hospital,23,1,532,dccc879433148274d70f078ca0393de9
Wheelchair,Global Med UAE,4173.0,Al Zahra Hospital Dubai,24,3,451,d37d83e322589ee423d4a87d016ef754
Simvastatin,HealthPro Distributors UAE,6565.0,American Hospital Dubai,50,3,313,238491f2d51919f22029ac372e364f7c
Atorvastatin,MPC Healthcare,3995.0,Thumbay Hospital Dubai,41,3,587,ef617b7ac2cb514e33fcd26c9a7bdd21
IV Bag,Pharma Solutions,11834.0,Saudi German Hospital Dubai,13,3,209,88eaea57584788f96223153cedb88937
Scalpel,MPC Healthcare,2394.0,American Hospital Dubai,38,2,460,b9a53cb0e37008785091f8acc6cdaa81
Atorvastatin,Al Naghi Medical,6578.0,Emirates Hospital Dubai,25,3,821,44b280539801d7ef9555a67d95d06461
ECG Machine,MPC Healthcare,3122.0,Emirates Hospital Dubai,13,4,626,d271c83012b8cabc595a0d94e0ca5464
Surgical Scissors,Planet Distribution,3770.0,American Hospital Dubai,33,4,450,1e9d9edbb8607d7ddb56938bbf407235
Scalpel,Gulf Drug,4749.0,Al Zahra Hospital Dubai,44,3,700,3a960f1977421345aa58c40c234348b3
Salbutamol,Gulf Drug,6572.0,Saudi German Hospital Dubai,21,2,502,f7ba34038323dd50755e9591d840979d
Bandage Roll,Paramount Medical Equipment Trading LLC,2242.0,Saudi German Hospital Dubai,34,3,464,d3e9a818752591debda205a23b1cc7db
Ventilator,Paramount Medical Equipment Trading LLC,1500.0,Thumbay Hospital Dubai,17,1,448,cb28ba00d077c468f5550f0bbfb48d1b
Doxycycline,Babirus LLC,6618.0,Saudi German Hospital Dubai,21,1,996,c34c0f74e461bfaed51549ecaf5e7151
Syringe Set,Al Zahrawi Medical,23200.0,Emirates Hospital Dubai,33,3,519,6374c71bb690aeba930b90b52c3a089b
Losartan,MPC Healthcare,2206.0,NMC Royal Hospital Dubai,11,5,516,8b092389981300d54e9d8face8c1d691
Defibrillator,City Pharmacy Co.,3381.0,Al Zahra Hospital Dubai,31,3,735,6da1400bfb5c05855f45fbce19afa089
Losartan,HealthPro Distributors UAE,1562.0,Saudi German Hospital Dubai,30,4,149,c895ab5c5a746c7fee34725eb085cbf4
Oxygen Cylinder,City Pharmacy Co.,3607.0,Thumbay Hospital Dubai,50,4,588,8acfce2d16e295472f4ec21487be697f
Ciprofloxacin,Al Naghi Medical,4438.0,Emirates Hospital Dubai,38,3,907,4108bca804c59197c9463cc5593979f7
Salbutamol,Planet Distribution,10374.0,NMC Royal Hospital Dubai,13,2,587,559bdcbb02a7da34a42a8519e65aa0d0
Surgical Masks,Al Zahrawi Medical,6258.0,Mediclinic City Hospital Dubai,11,3,239,5d551c94ae66c533e66b663aefffaed4
Surgical Masks,Gulf Drug,3837.0,Mediclinic City Hospital Dubai,45,4,820,3d59f353e1aa94db29c80fd866811c36
Pulse Oximeter,Al Naghi Medical,197.0,NMC Royal Hospital Dubai,35,2,498,708ea0d06393d6c937d06bff17b865c9
Blood Pressure Monitor,Planet Distribution,2507.0,Emirates Hospital Dubai,49,3,595,ac1df38e8d830235f43fc588abbd3105
Wheelchair,Gulf Drug,740.0,Thumbay Hospital Dubai,18,2,269,907e10579fc5b4a00919b9a993363651
Simvastatin,Al Maqam Medical Supplies LLC,8226.0,NMC Royal Hospital Dubai,14,3,449,40253c556acd99f77b8babc978b3d065
Syringe Set,Kiwi Medical Supplies,22571.0,Al Zahra Hospital Dubai,21,3,170,30ab05d0c2b802ad4e7225d7853e80fb
Ventilator,HealthPro Distributors UAE,5307.0,Al Zahra Hospital Dubai,36,4,940,3a4ecb5c28c9ee7c930ac4e3ee17bbc1
Azithromycin,Gulf Drug,12166.0,Mediclinic City Hospital Dubai,30,3,772,0bd863c177b307f78c7f74c47faf858e
ECG Machine,Planet Distribution,614.0,Saudi German Hospital Dubai,13,4,357,e165b0b70b8af065227b007937c02371
Pulse Oximeter,Planet Distribution,172.0,Thumbay Hospital Dubai,29,4,552,7ebbf109e8a1832c56fb9fb474586cca
Losartan,City Pharmacy Co.,2625.0,Mediclinic City Hospital Dubai,47,3,553,74e255a719d8590dceb3bee7fe228b71
Disposable Gloves,Planet Distribution,8637.0,Saudi German Hospital Dubai,40,3,254,b9218ba460c9a0e328d4b1e8862d47c7
Hydrochlorothiazide,Metromed,9450.0,Saudi German Hospital Dubai,25,2,465,be602a157095ec555c8aef159f925bc5
Salbutamol,Al Maqam Medical Supplies LLC,10722.0,Dubai Hospital,17,4,149,930f59e162d54332f25ffeffc310932a
Hydrochlorothiazide,AKI Pharma,12096.0,Al Zahra Hospital Dubai,39,4,435,211fe2d63eb765ed3adf24feac6b13d9
Metronidazole,MPC Healthcare,882.0,Emirates Hospital Dubai,46,2,436,3a469ea9dc1480e8ef2924871292fe43
Disposable Gloves,Al Naghi Medical,5833.0,American Hospital Dubai,23,4,153,4a47c4b10fae62a3bcff0c46d84c5344
Doxycycline,Al Maqam Medical Supplies LLC,8622.0,Emirates Hospital Dubai,50,3,556,bca1c9db154d55ae85b7917e81bdc76d
Prednisolone,Kiwi Medical Supplies,4431.0,American Hospital Dubai,35,5,404,7f6cc96b5b87688e4882db2d23c179b2
Atorvastatin,Metromed,5604.0,NMC Royal Hospital Dubai,50,2,297,cad1b042669bca5f876b20a4c08703c2
Ciprofloxacin,Gulf Drug,4992.0,Al Zahra Hospital Dubai,25,2,208,6f368ea4a1285100950b7a18988bc01c
Pantoprazole,Babirus LLC,3868.0,Saudi German Hospital Dubai,30,3,860,938f0de3ee2045d64cbf85f77e3f75b5
Sterile Gauze,Al Zahrawi Medical,2095.0,Thumbay Hospital Dubai,15,3,316,fe79b3b5b6f0abe205d5075b577fac18
Simvastatin,Kiwi Medical Supplies,7925.0,American Hospital Dubai,39,1,291,cfa8d327f38a8c82ddc0b46eb34c808c
Disposable Gloves,Paramount Medical Equipment Trading LLC,7714.0,Emirates Hospital Dubai,21,4,825,1d98e3770cffea8bcb524208b183ebf6
Oxygen Cylinder,Planet Distribution,347.0,Saudi German Hospital Dubai,38,3,670,2d7415468aacc1f95884b389c07958fd
Pantoprazole,Al Zahrawi Medical,202.0,American Hospital Dubai,33,1,557,c8f1fb988438ce802394e94797cdd59b
Surgical Scissors,Gulf Drug,1903.0,American Hospital Dubai,31,1,103,32cd449f21b49ac65d74a31f436ae293
Salbutamol,AKI Pharma,7357.0,Dubai Hospital,23,5,407,45888feda2981b909c6f0686c7e8e26f
IV Bag,Al Zahrawi Medical,11960.0,American Hospital Dubai,24,4,300,7e4eb887a19d9d2440eb31aeb6270bef
Losartan,Al Maqam Medical Supplies LLC,4554.0,Thumbay Hospital Dubai,33,2,878,23a6bee7972a1922dd81c67b49f3b3bd
Paracetamol,Metromed,17866.0,Al Zahra Hospital Dubai,25,4,511,baa631f4cb4b1f02eb59e7baf2a16e66
Thermometer,Al Naghi Medical,7485.0,Thumbay Hospital Dubai,31,3,768,a2421bf79b5324269bfac3f596120a93
Hydrochlorothiazide,AKI Pharma,10400.0,Mediclinic City Hospital Dubai,40,3,187,3469fb23f4de06ac4e1868080e589b82
Simvastatin,AKI Pharma,6930.0,Saudi German Hospital Dubai,34,3,869,7088c459cf56dde50a58327a7a8041d2
Paracetamol,Babirus LLC,17244.0,Al Zahra Hospital Dubai,35,4,304,eef1b8b90f787653c61775b6e5517c52
Sterile Gauze,Kiwi Medical Supplies,3220.0,Dubai Hospital,35,3,750,cca53c8c999b30a64dd0074cf00984c9
Pantoprazole,Planet Distribution,643.0,Al Zahra Hospital Dubai,34,2,610,fb31a787946b618bfec880709e453552
Pulse Oximeter,Planet Distribution,1000.0,Al Zahra Hospital Dubai,38,4,460,8d6ee5c371985722ba1426aca1598d3c
Metronidazole,Al Maqam Medical Supplies LLC,2154.0,Emirates Hospital Dubai,17,3,547,9790da410060a5a9cb3469763ef25fe0
Amoxicillin,Babirus LLC,13304.0,Al Zahra Hospital Dubai,49,4,378,6e08b8e7267016e5ae717129023d65b1
Aspirin,Gulf Drug,10813.0,Dubai Hospital,44,3,487,b74e3ea55476edf81ad937be8e6bb0e0
Pulse Oximeter,HealthPro Distributors UAE,835.0,Thumbay Hospital Dubai,26,3,528,81001babaa3753f87b3e4c6271c92005
Surgical Scissors,Metromed,2960.0,Al Zahra Hospital Dubai,12,2,625,e6dabdd429c3ad8edc20b53b4110db9b
Lisinopril,Global Med UAE,7068.0,NMC Royal Hospital Dubai,34,2,627,c92393cd9ab0d9108900dc46ce499d83
Losartan,Planet Distribution,4449.0,Saudi German Hospital Dubai,39,2,933,cc82a927e623ebe9d93891dbc6056600
Levothyroxine,Al Zahrawi Medical,7457.0,Al Zahra Hospital Dubai,26,1,933,b55ca7c47ce69690bf319179b3ef5c7b
Metformin,Gulf Drug,10218.0,Saudi German Hospital Dubai,30,3,223,9e5c41f2e80c516049c70ab095a859c2
Fluconazole,Babirus LLC,9961.0,NMC Royal Hospital Dubai,46,4,874,8981c6dd4a4e7f120cf607274ea8f382
Disposable Gloves,Al Naghi Medical,5901.0,NMC Royal Hospital Dubai,49,2,658,641cca60aad3d40a7c4a942c4762d7ef
Lisinopril,MPC Healthcare,7589.0,Saudi German Hospital Dubai,22,1,207,13fd1f65261304b52f339ba92a523288
Ibuprofen,Metromed,3286.0,American Hospital Dubai,42,2,753,d6110181047dedbb04bcb5719740531d
Simvastatin,Kiwi Medical Supplies,10616.0,Mediclinic City Hospital Dubai,18,3,720,4db3fb18de821f4b60f3db9ab5aa054f
Azithromycin,Al Zahrawi Medical,12109.0,Emirates Hospital Dubai,33,3,835,4d7097da74807b2fe8fb5b9b4f2d4b08
Doxycycline,MPC Healthcare,4817.0,American Hospital Dubai,15,2,242,29a4ea0a27ca6f7909d7964664abee55
Drip Stand,Kiwi Medical Supplies,4760.0,American Hospital Dubai,10,4,750,545a0efaa9d66f4bac096c6628c71db3
Prednisolone,Pharma Solutions,8259.0,Thumbay Hospital Dubai,50,2,645,9dc88b5f6f2d8418dbd42398ae818bfd
Disposable Gloves,Al Naghi Medical,8061.0,Emirates Hospital Dubai,35,3,329,1de0ca27b28437e82802c274d164fa3c
Simvastatin,MPC Healthcare,8361.0,Emirates Hospital Dubai,15,1,658,1ef49a614aa0c0fc0992fd78b2599503
Salbutamol,Babirus LLC,8947.0,American Hospital Dubai,45,3,824,56f0f59d99af1151678a16e9c034c92f
Disposable Gloves,Gulf Drug,9048.0,Al Zahra Hospital Dubai,36,4,752,bcff1534ca1e7269b5b8ca7a69936c02
IV Bag,Al Zahrawi Medical,11803.0,Thumbay Hospital Dubai,34,3,313,a54d23c1bf59d3263b5a0f2eeffe5227
ECG Machine,Al Maqam Medical Supplies LLC,3053.0,Thumbay Hospital Dubai,44,4,705,99b7561d6a68451a9c0db92967f9dec0
Salbutamol,City Pharmacy Co.,7288.0,NMC Royal Hospital Dubai,42,1,200,e4f22639343555341773de48e2b48c73
Fluconazole,Global Med UAE,6436.0,Dubai Hospital,22,3,867,d9274a6240498959a34d8224ea72a912
Drip Stand,Pharma Solutions,4795.0,Emirates Hospital Dubai,24,3,865,528c5a6b8b1e183b745a93bb240ebbdc
Insulin Pen,Al Zahrawi Medical,6133.0,American Hospital Dubai,42,4,700,16fee1073b44c51e92aa13ea3d5a44df
ECG Machine,Global Med UAE,304.0,NMC Royal Hospital Dubai,13,1,674,3b1c4b4e6a1f25f174b091b36a1fee8d
Prednisolone,Global Med UAE,8093.0,Saudi German Hospital Dubai,49,3,615,5629b22e81d4c8ac7e9d6bfad3ebf5d3
Simvastatin,Paramount Medical Equipment Trading LLC,8749.0,Mediclinic City Hospital Dubai,12,3,895,dc39e11f8266c35021f111ccef6a94b6
Oxygen Cylinder,Babirus LLC,81.0,Dubai Hospital,34,3,864,a5fa6306c0a84663ed578e22b25ec011
Insulin Pen,Al Naghi Medical,6158.0,Dubai Hospital,50,3,665,252f6c3972dfb74090faa657d2cf8f71
Surgical Masks,Metromed,7763.0,Dubai Hospital,42,3,957,2f1f1021ade7510fcbf792a740515d3d
Hydrochlorothiazide,Metromed,10462.0,Thumbay Hospital Dubai,43,1,111,21e414db21ad04a7da60967a4c7a9584
Lisinopril,MPC Healthcare,7899.0,Saudi German Hospital Dubai,29,3,953,d01a0730803a4a14e32b0c0847e5a78f
Ciprofloxacin,Babirus LLC,5770.0,Dubai Hospital,11,1,134,18879a00baecfb4e5e7e333fd151961d
Prednisolone,Al Maqam Medical Supplies LLC,6305.0,Saudi German Hospital Dubai,31,3,612,04a21a8a98a5d58009d047589e010605
Syringe Set,Al Naghi Medical,23858.0,Al Zahra Hospital Dubai,27,2,176,e67a1d43542db698f6c95909abf3e550
Pulse Oximeter,AKI Pharma,2066.0,Dubai Hospital,31,3,198,25f67c93698d69cd25db90c282041de9
Insulin Pen,City Pharmacy Co.,5603.0,Mediclinic City Hospital Dubai,36,3,495,5d6e57a6ab7f532fd4084b130575998b
Omeprazole,City Pharmacy Co.,9313.0,Saudi German Hospital Dubai,33,2,597,3eb11bf7455c1923d5cbe302f775ca7d
ECG Machine,Al Zahrawi Medical,4953.0,Saudi German Hospital Dubai,23,4,750,f3ebd37b54ce51cc143bbac844a0bdb7
Pantoprazole,Babirus LLC,1377.0,Mediclinic City Hospital Dubai,12,4,415,557db310e11a5a191f6ac887cc5dcf04
Sterile Gauze,Paramount Medical Equipment Trading LLC,4992.0,Dubai Hospital,47,2,322,49ff29187c49f5dcc9d7a46c4650e97e
Azithromycin,Al Maqam Medical Supplies LLC,11662.0,Mediclinic City Hospital Dubai,31,5,182,050c16b8e744bd4ac006a4f7594c9a0f
Syringe Set,Planet Distribution,21603.0,Saudi German Hospital Dubai,23,1,302,951dd03232cdb11dcd74d198f5c2c3da
IV Bag,Planet Distribution,13565.0,Mediclinic City Hospital Dubai,30,3,650,f3b116e14c8fa65239431e2a27bc04b3
Losartan,Al Zahrawi Medical,1881.0,Saudi German Hospital Dubai,17,4,563,4baf3ba149121ce060e129462f6296b2
Sterile Gauze,HealthPro Distributors UAE,1176.0,Saudi German Hospital Dubai,45,3,704,4a974679103d114299a1b7a45d416d10
Surgical Scissors,Global Med UAE,3086.0,Al Zahra Hospital Dubai,16,3,484,dbbb6aad1acaee5879cba1d3bd858f95
Pulse Oximeter,AKI Pharma,2165.0,American Hospital Dubai,46,3,379,728cc9cdb2d561e26db0bca31627ab1e
Fluconazole,Paramount Medical Equipment Trading LLC,7153.0,Saudi German Hospital Dubai,41,3,154,685eceac7f84976856d5f2458eea0505
Hand Sanitizer,Al Zahrawi Medical,3940.0,Dubai Hospital,34,3,391,7f6fca25e2060e8a924eb8dd3d1da14f
Defibrillator,Pharma Solutions,95.0,NMC Royal Hospital Dubai,20,3,378,a94ad61ba360fceaf004a9867a63c8fe
Oxygen Cylinder,HealthPro Distributors UAE,287.0,Thumbay Hospital Dubai,15,3,928,76881a76048ab4b8ca0a16cb85dd9dde
Metformin,MPC Healthcare,11418.0,Emirates Hospital Dubai,11,2,275,4c48898ace5485604410d94127fda3b2
Scalpel,Gulf Drug,736.0,American Hospital Dubai,19,2,179,e7455b24aa3cfc2c2671ddda8da8f6b6
Simvastatin,City Pharmacy Co.,9629.0,American Hospital Dubai,26,3,993,999ee6e1c9aa7dee4ce31ead05273a5c
IV Bag,City Pharmacy Co.,10673.0,American Hospital Dubai,39,1,828,fcbd87a7ec7aa63609bcb96ecd5999f9
Defibrillator,Planet Distribution,1648.0,Al Zahra Hospital Dubai,19,4,370,87d2e3eaed3bc3bc696ba819853d048c
Pulse Oximeter,Babirus LLC,2027.0,Saudi German Hospital Dubai,29,3,695,ca202842fed08275bf36fb90275b6dea
Surgical Scissors,MPC Healthcare,3506.0,Al Zahra Hospital Dubai,48,3,734,1e08667c8f9c131dc18872e7934e1b15
Levothyroxine,HealthPro Distributors UAE,8084.0,Saudi German Hospital Dubai,27,3,732,7bea712477627f826450696b71437381
Amoxicillin,Babirus LLC,13575.0,Dubai Hospital,13,2,631,6a0fa2838d862be953f959dc66a5c32f
