id,keyword,location,text,target
3053,diabetes,Brazil,Diagnosed with diabetes and really don't know what to do.,1
3054,diabetes,Japan,Anyone else suffering from diabetes lately?,1
3055,fitness,USA,Diagnosed with fitness and really don't know what to do.,1
3056,diabetes,Japan,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
3057,fitness,USA,I've been feeling really sick with fitness all week. Anyone have any tips?,1
3058,workout,USA,"Loving the new place I moved into, feels great!",0
3059,workout,Australia,This weather is perfect for a long run.,0
3060,cold,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
3061,flu,USA,Having a rough time dealing with flu.,1
3062,workout,France,Enjoying a relaxing day without any worries!,0
3063,allergy,Canada,Loving this healthy lifestyle I've been following.,0
3064,diabetes,UK,My grandma just passed away from diabetes. RIP,1
3065,flu,Australia,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3066,asthma,France,"Staying consistent with my workouts, it pays off.",0
3067,medication,France,I absolutely love my fitness journey so far.,0
3068,asthma,USA,"Loving the new place I moved into, feels great!",0
3069,headache,Japan,"Doctor prescribed me new headache medication, hoping it helps.",1
3070,flu,Brazil,My grandma just passed away from flu. RIP,1
3071,workout,Germany,Getting into the best shape of my life.,0
3072,fitness,Australia,I've been feeling really sick with fitness all week. Anyone have any tips?,1
3073,fitness,Japan,My fitness symptoms are just unbearable.,1
3074,diabetes,UK,Finally got medication for my diabetes.,1
3075,cold,USA,"I'm all about that gym life, workouts every day.",0
3076,workout,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
3077,workout,UK,Just finished a great workout at the gym Feeling energized,0
3078,diabetes,Brazil,Having a rough time dealing with diabetes.,1
3079,headache,Canada,Finally got medication for my headache.,1
3080,headache,Japan,Just got diagnosed with headache. Anyone have any advice?,1
3081,headache,France,Diagnosed with headache and really don't know what to do.,1
3082,headache,Germany,My headache symptoms are just unbearable.,1
3083,flu,USA,Diagnosed with flu and really don't know what to do.,1
3084,cancer,Japan,Does anyone know good treatments for cancer?,1
3085,medication,India,"Staying consistent with my workouts, it pays off.",0
3086,allergy,France,Just finished a great workout at the gym Feeling energized,0
3087,diabetes,India,Just got diagnosed with diabetes. Anyone have any advice?,1
3088,workout,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
3089,fitness,Brazil,"I've just been diagnosed with fitness, looking for support.",1
3090,allergy,Australia,"Just had an amazing run, feeling so fit.",0
3091,cold,Germany,"I'm all about that gym life, workouts every day.",0
3092,medication,France,This weather is perfect for a long run.,0
3093,cold,Japan,Getting into the best shape of my life.,0
3094,cancer,Brazil,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
3095,cold,Australia,"I'm all about that gym life, workouts every day.",0
3096,diabetes,USA,Finally got medication for my diabetes.,1
3097,fitness,South Africa,I can't believe I have fitness.,1
3098,headache,UK,My headache symptoms are just unbearable.,1
3099,fitness,Australia,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
3100,workout,UK,Loving this healthy lifestyle I've been following.,0
3101,cold,Canada,Loving this healthy lifestyle I've been following.,0
3102,headache,Japan,Finally got medication for my headache.,1
3103,headache,Australia,"I've just been diagnosed with headache, looking for support.",1
3104,asthma,Brazil,"Loving the new place I moved into, feels great!",0
3105,headache,Japan,"I've just been diagnosed with headache, looking for support.",1
3106,workout,UK,I absolutely love my fitness journey so far.,0
3107,diabetes,USA,My grandma just passed away from diabetes. RIP,1
3108,headache,Canada,"This headache is getting worse each day, any suggestions?",1
3109,asthma,UK,"Staying consistent with my workouts, it pays off.",0
3110,medication,USA,"Loving the new place I moved into, feels great!",0
3111,medication,USA,This weather is perfect for a long run.,0
3112,diabetes,UK,Just got diagnosed with diabetes. Anyone have any advice?,1
3113,medication,Australia,Fitness goals achieved for the day!,0
3114,flu,Australia,Finally got medication for my flu.,1
3115,asthma,UK,"Just had an amazing run, feeling so fit.",0
3116,asthma,India,Feeling great after a relaxing yoga session.,0
3117,diabetes,USA,Does anyone know good treatments for diabetes?,1
3118,asthma,South Africa,I absolutely love my fitness journey so far.,0
3119,allergy,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
3120,medication,Germany,"Fitness is a lifestyle, and I'm fully embracing it.",0
3121,fitness,Brazil,I've been feeling really sick with fitness all week. Anyone have any tips?,1
3122,allergy,Japan,Feeling great after a relaxing yoga session.,0
3123,cancer,Australia,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
3124,cancer,UK,I can't believe I have cancer.,1
3125,headache,India,Having a rough time dealing with headache.,1
3126,headache,UK,My grandma just passed away from headache. RIP,1
3127,fitness,India,Diagnosed with fitness and really don't know what to do.,1
3128,fitness,France,Anyone else suffering from fitness lately?,1
3129,allergy,France,Loving this healthy lifestyle I've been following.,0
3130,workout,Germany,Loving this healthy lifestyle I've been following.,0
3131,diabetes,Brazil,My diabetes symptoms are just unbearable.,1
3132,cold,Japan,I absolutely love my fitness journey so far.,0
3133,cancer,India,"This cancer is getting worse each day, any suggestions?",1
3134,cold,UK,"Staying consistent with my workouts, it pays off.",0
3135,fitness,Japan,Just got diagnosed with fitness. Anyone have any advice?,1
3136,medication,Brazil,"Loving the new place I moved into, feels great!",0
3137,cold,Canada,I absolutely love my fitness journey so far.,0
3138,headache,USA,"I've just been diagnosed with headache, looking for support.",1
3139,allergy,Germany,"I'm all about that gym life, workouts every day.",0
3140,asthma,Brazil,"Staying consistent with my workouts, it pays off.",0
3141,asthma,USA,Loving this healthy lifestyle I've been following.,0
3142,allergy,USA,"Just had an amazing run, feeling so fit.",0
3143,allergy,USA,"Loving the new place I moved into, feels great!",0
3144,flu,Germany,Having a rough time dealing with flu.,1
3145,allergy,Australia,Loving this healthy lifestyle I've been following.,0
3146,asthma,France,"I'm all about that gym life, workouts every day.",0
3147,diabetes,USA,Does anyone know good treatments for diabetes?,1
3148,workout,France,"Had a nice cup of coffee, time to start the day!",0
3149,asthma,Australia,Enjoying a relaxing day without any worries!,0
3150,asthma,UK,Loving this healthy lifestyle I've been following.,0
3151,medication,Japan,Getting into the best shape of my life.,0
3152,cancer,Canada,"Doctor prescribed me new cancer medication, hoping it helps.",1
3153,allergy,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
3154,workout,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
3155,asthma,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
3156,fitness,USA,Having a rough time dealing with fitness.,1
3157,cold,USA,Enjoying a relaxing day without any worries!,0
3158,cold,Canada,Fitness goals achieved for the day!,0
3159,flu,Germany,"I've just been diagnosed with flu, looking for support.",1
3160,cancer,Australia,My grandma just passed away from cancer. RIP,1
3161,flu,USA,"This flu is getting worse each day, any suggestions?",1
3162,allergy,Australia,Feeling great after a relaxing yoga session.,0
3163,cancer,France,Finally got medication for my cancer.,1
3164,flu,South Africa,Just got diagnosed with flu. Anyone have any advice?,1
3165,cold,Japan,Getting into the best shape of my life.,0
3166,asthma,Australia,"Staying consistent with my workouts, it pays off.",0
3167,fitness,Canada,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
3168,allergy,South Africa,I absolutely love my fitness journey so far.,0
3169,allergy,France,"Had a nice cup of coffee, time to start the day!",0
3170,asthma,South Africa,"Staying consistent with my workouts, it pays off.",0
3171,allergy,Japan,"Just had an amazing run, feeling so fit.",0
3172,asthma,India,"I'm all about that gym life, workouts every day.",0
3173,asthma,France,"Loving the new place I moved into, feels great!",0
3174,asthma,France,"Fitness is a lifestyle, and I'm fully embracing it.",0
3175,cold,South Africa,Loving this healthy lifestyle I've been following.,0
3176,diabetes,USA,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
3177,headache,South Africa,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3178,headache,Australia,"This headache is getting worse each day, any suggestions?",1
3179,fitness,Germany,Having a rough time dealing with fitness.,1
3180,asthma,Canada,"Fitness is a lifestyle, and I'm fully embracing it.",0
3181,allergy,Canada,"Staying consistent with my workouts, it pays off.",0
3182,headache,India,I've been feeling really sick with headache all week. Anyone have any tips?,1
3183,cancer,Japan,"I've just been diagnosed with cancer, looking for support.",1
3184,cancer,South Africa,Anyone else suffering from cancer lately?,1
3185,medication,France,"Fitness is a lifestyle, and I'm fully embracing it.",0
3186,medication,Canada,I absolutely love my fitness journey so far.,0
3187,cancer,UK,Having a rough time dealing with cancer.,1
3188,cold,Germany,Loving this healthy lifestyle I've been following.,0
3189,allergy,Germany,"Had a nice cup of coffee, time to start the day!",0
3190,allergy,Canada,"I'm all about that gym life, workouts every day.",0
3191,cold,South Africa,"I'm all about that gym life, workouts every day.",0
3192,diabetes,France,My grandma just passed away from diabetes. RIP,1
3193,allergy,Canada,I absolutely love my fitness journey so far.,0
3194,cancer,India,My cancer symptoms are just unbearable.,1
3195,flu,UK,Finally got medication for my flu.,1
3196,asthma,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
3197,asthma,Germany,Loving this healthy lifestyle I've been following.,0
3198,medication,Germany,"Just had an amazing run, feeling so fit.",0
3199,flu,Canada,"Doctor prescribed me new flu medication, hoping it helps.",1
3200,allergy,USA,I absolutely love my fitness journey so far.,0
3201,cancer,Brazil,I can't believe I have cancer.,1
3202,medication,Germany,Getting into the best shape of my life.,0
3203,medication,Australia,"Just had an amazing run, feeling so fit.",0
3204,cancer,Brazil,"I've just been diagnosed with cancer, looking for support.",1
3205,cancer,India,Anyone else suffering from cancer lately?,1
3206,cancer,France,Diagnosed with cancer and really don't know what to do.,1
3207,workout,Brazil,"Had a nice cup of coffee, time to start the day!",0
3208,flu,Brazil,"I've just been diagnosed with flu, looking for support.",1
3209,cancer,Brazil,Diagnosed with cancer and really don't know what to do.,1
3210,flu,Japan,Diagnosed with flu and really don't know what to do.,1
3211,headache,Brazil,Does anyone know good treatments for headache?,1
3212,workout,Japan,I absolutely love my fitness journey so far.,0
3213,flu,Japan,I can't believe I have flu.,1
3214,asthma,France,"Fitness is a lifestyle, and I'm fully embracing it.",0
3215,asthma,Germany,"Staying consistent with my workouts, it pays off.",0
3216,headache,UK,"I've just been diagnosed with headache, looking for support.",1
3217,cancer,UK,I've been feeling really sick with cancer all week. Anyone have any tips?,1
3218,headache,Canada,Anyone else suffering from headache lately?,1
3219,asthma,Germany,"Staying consistent with my workouts, it pays off.",0
3220,allergy,Canada,Enjoying a relaxing day without any worries!,0
3221,medication,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
3222,medication,Germany,Enjoying a relaxing day without any worries!,0
3223,allergy,USA,Feeling great after a relaxing yoga session.,0
3224,allergy,UK,"I'm all about that gym life, workouts every day.",0
3225,workout,UK,Enjoying a relaxing day without any worries!,0
3226,allergy,Canada,Enjoying a relaxing day without any worries!,0
3227,medication,Brazil,Enjoying a relaxing day without any worries!,0
3228,workout,Canada,"Staying consistent with my workouts, it pays off.",0
3229,flu,Canada,Just got diagnosed with flu. Anyone have any advice?,1
3230,headache,France,Does anyone know good treatments for headache?,1
3231,flu,India,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3232,cold,Australia,"Staying consistent with my workouts, it pays off.",0
3233,cold,Germany,"I'm all about that gym life, workouts every day.",0
3234,asthma,Brazil,I absolutely love my fitness journey so far.,0
3235,workout,Germany,Just finished a great workout at the gym Feeling energized,0
3236,fitness,USA,I can't believe I have fitness.,1
3237,cancer,India,Having a rough time dealing with cancer.,1
3238,cold,USA,This weather is perfect for a long run.,0
3239,allergy,USA,"Staying consistent with my workouts, it pays off.",0
3240,workout,UK,"Just had an amazing run, feeling so fit.",0
3241,medication,UK,Fitness goals achieved for the day!,0
3242,fitness,Brazil,"This fitness is getting worse each day, any suggestions?",1
3243,asthma,Canada,Fitness goals achieved for the day!,0
3244,allergy,UK,I absolutely love my fitness journey so far.,0
3245,cancer,South Africa,Diagnosed with cancer and really don't know what to do.,1
3246,cold,USA,"Loving the new place I moved into, feels great!",0
3247,fitness,France,"Doctor prescribed me new fitness medication, hoping it helps.",1
3248,cancer,Canada,"I've just been diagnosed with cancer, looking for support.",1
3249,asthma,Australia,"Fitness is a lifestyle, and I'm fully embracing it.",0
3250,flu,Canada,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3251,medication,India,"Staying consistent with my workouts, it pays off.",0
3252,cold,South Africa,"Had a nice cup of coffee, time to start the day!",0
3253,flu,Japan,I can't believe I have flu.,1
3254,allergy,India,Loving this healthy lifestyle I've been following.,0
3255,asthma,Australia,I absolutely love my fitness journey so far.,0
3256,asthma,Brazil,Fitness goals achieved for the day!,0
3257,fitness,Japan,Having a rough time dealing with fitness.,1
3258,asthma,Australia,"Had a nice cup of coffee, time to start the day!",0
3259,fitness,India,My grandma just passed away from fitness. RIP,1
3260,headache,Australia,Finally got medication for my headache.,1
3261,headache,Canada,Does anyone know good treatments for headache?,1
3262,fitness,UK,Does anyone know good treatments for fitness?,1
3263,cancer,South Africa,"I've just been diagnosed with cancer, looking for support.",1
3264,headache,UK,Just got diagnosed with headache. Anyone have any advice?,1
3265,asthma,South Africa,Loving this healthy lifestyle I've been following.,0
3266,headache,Japan,I've been feeling really sick with headache all week. Anyone have any tips?,1
3267,allergy,Germany,Enjoying a relaxing day without any worries!,0
3268,allergy,Australia,"Loving the new place I moved into, feels great!",0
3269,allergy,USA,Feeling great after a relaxing yoga session.,0
3270,medication,Canada,"Just had an amazing run, feeling so fit.",0
3271,headache,South Africa,Having a rough time dealing with headache.,1
3272,allergy,Australia,"I'm all about that gym life, workouts every day.",0
3273,workout,Canada,Just finished a great workout at the gym Feeling energized,0
3274,cancer,India,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
3275,medication,USA,Just finished a great workout at the gym Feeling energized,0
3276,cancer,South Africa,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
3277,flu,UK,My grandma just passed away from flu. RIP,1
3278,allergy,South Africa,"Staying consistent with my workouts, it pays off.",0
3279,flu,South Africa,Diagnosed with flu and really don't know what to do.,1
3280,workout,India,I absolutely love my fitness journey so far.,0
3281,medication,South Africa,"Staying consistent with my workouts, it pays off.",0
3282,cold,Japan,This weather is perfect for a long run.,0
3283,diabetes,UK,My grandma just passed away from diabetes. RIP,1
3284,medication,Germany,"Fitness is a lifestyle, and I'm fully embracing it.",0
3285,headache,Brazil,Having a rough time dealing with headache.,1
3286,cold,India,Loving this healthy lifestyle I've been following.,0
3287,fitness,France,Having a rough time dealing with fitness.,1
3288,flu,Brazil,"I've just been diagnosed with flu, looking for support.",1
3289,headache,Brazil,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3290,workout,Brazil,"Loving the new place I moved into, feels great!",0
3291,cancer,UK,"Doctor prescribed me new cancer medication, hoping it helps.",1
3292,asthma,India,Fitness goals achieved for the day!,0
3293,fitness,South Africa,Just got diagnosed with fitness. Anyone have any advice?,1
3294,flu,Canada,I can't believe I have flu.,1
3295,cold,Germany,"I'm all about that gym life, workouts every day.",0
3296,cancer,Brazil,Diagnosed with cancer and really don't know what to do.,1
3297,flu,USA,Anyone else suffering from flu lately?,1
3298,allergy,Japan,Fitness goals achieved for the day!,0
3299,medication,South Africa,Feeling great after a relaxing yoga session.,0
3300,allergy,Germany,Fitness goals achieved for the day!,0
3301,allergy,Canada,"I'm all about that gym life, workouts every day.",0
3302,fitness,France,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
3303,diabetes,Brazil,"Doctor prescribed me new diabetes medication, hoping it helps.",1
3304,medication,Australia,Feeling great after a relaxing yoga session.,0
3305,headache,UK,Just got diagnosed with headache. Anyone have any advice?,1
3306,cold,South Africa,This weather is perfect for a long run.,0
3307,cold,Canada,Loving this healthy lifestyle I've been following.,0
3308,medication,Australia,This weather is perfect for a long run.,0
3309,flu,South Africa,"Doctor prescribed me new flu medication, hoping it helps.",1
3310,headache,USA,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3311,flu,Brazil,I've been feeling really sick with flu all week. Anyone have any tips?,1
3312,headache,UK,Diagnosed with headache and really don't know what to do.,1
3313,asthma,Australia,"Fitness is a lifestyle, and I'm fully embracing it.",0
3314,diabetes,France,Finally got medication for my diabetes.,1
3315,cancer,India,Does anyone know good treatments for cancer?,1
3316,cancer,France,Diagnosed with cancer and really don't know what to do.,1
3317,flu,France,Finally got medication for my flu.,1
3318,cancer,Australia,"I've just been diagnosed with cancer, looking for support.",1
3319,workout,France,I absolutely love my fitness journey so far.,0
3320,cancer,Germany,Anyone else suffering from cancer lately?,1
3321,medication,Japan,"Had a nice cup of coffee, time to start the day!",0
3322,medication,UK,Loving this healthy lifestyle I've been following.,0
3323,allergy,Japan,"Had a nice cup of coffee, time to start the day!",0
3324,fitness,Germany,"I've just been diagnosed with fitness, looking for support.",1
3325,headache,Australia,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3326,medication,India,Getting into the best shape of my life.,0
3327,diabetes,South Africa,"Doctor prescribed me new diabetes medication, hoping it helps.",1
3328,workout,South Africa,Enjoying a relaxing day without any worries!,0
3329,cold,Germany,"Just had an amazing run, feeling so fit.",0
3330,workout,Brazil,"Loving the new place I moved into, feels great!",0
3331,asthma,India,Fitness goals achieved for the day!,0
3332,workout,Canada,Feeling great after a relaxing yoga session.,0
3333,asthma,South Africa,"Staying consistent with my workouts, it pays off.",0
3334,cancer,Australia,Anyone else suffering from cancer lately?,1
3335,cancer,Germany,"This cancer is getting worse each day, any suggestions?",1
3336,cancer,Canada,My grandma just passed away from cancer. RIP,1
3337,workout,USA,"Had a nice cup of coffee, time to start the day!",0
3338,cold,South Africa,Getting into the best shape of my life.,0
3339,allergy,Brazil,This weather is perfect for a long run.,0
3340,asthma,Australia,"Had a nice cup of coffee, time to start the day!",0
3341,flu,France,"Doctor prescribed me new flu medication, hoping it helps.",1
3342,medication,Japan,Getting into the best shape of my life.,0
3343,cancer,USA,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
3344,headache,South Africa,"I've just been diagnosed with headache, looking for support.",1
3345,medication,France,Fitness goals achieved for the day!,0
3346,cancer,USA,"I've just been diagnosed with cancer, looking for support.",1
3347,diabetes,UK,Having a rough time dealing with diabetes.,1
3348,flu,Brazil,My grandma just passed away from flu. RIP,1
3349,allergy,Canada,"Staying consistent with my workouts, it pays off.",0
3350,medication,UK,I absolutely love my fitness journey so far.,0
3351,asthma,India,Feeling great after a relaxing yoga session.,0
3352,headache,India,Finally got medication for my headache.,1
3353,workout,Japan,"Fitness is a lifestyle, and I'm fully embracing it.",0
3354,workout,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
3355,cold,India,Loving this healthy lifestyle I've been following.,0
3356,fitness,Brazil,My grandma just passed away from fitness. RIP,1
3357,diabetes,UK,Does anyone know good treatments for diabetes?,1
3358,flu,Australia,Does anyone know good treatments for flu?,1
3359,allergy,USA,Feeling great after a relaxing yoga session.,0
3360,fitness,Brazil,Finally got medication for my fitness.,1
3361,allergy,Australia,"Just had an amazing run, feeling so fit.",0
3362,cancer,Australia,Diagnosed with cancer and really don't know what to do.,1
3363,allergy,Japan,"Staying consistent with my workouts, it pays off.",0
3364,headache,South Africa,Finally got medication for my headache.,1
3365,medication,USA,This weather is perfect for a long run.,0
3366,headache,France,Anyone else suffering from headache lately?,1
3367,allergy,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
3368,fitness,South Africa,"I've just been diagnosed with fitness, looking for support.",1
3369,diabetes,UK,"This diabetes is getting worse each day, any suggestions?",1
3370,cancer,Japan,My cancer symptoms are just unbearable.,1
3371,headache,Japan,"I've just been diagnosed with headache, looking for support.",1
3372,asthma,UK,This weather is perfect for a long run.,0
3373,allergy,South Africa,I absolutely love my fitness journey so far.,0
3374,headache,Australia,Having a rough time dealing with headache.,1
3375,allergy,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
3376,workout,USA,Getting into the best shape of my life.,0
3377,medication,Germany,Loving this healthy lifestyle I've been following.,0
3378,diabetes,UK,Just got diagnosed with diabetes. Anyone have any advice?,1
3379,medication,Canada,Loving this healthy lifestyle I've been following.,0
3380,workout,Germany,Loving this healthy lifestyle I've been following.,0
3381,workout,Australia,Just finished a great workout at the gym Feeling energized,0
3382,cancer,USA,"This cancer is getting worse each day, any suggestions?",1
3383,cold,Brazil,Getting into the best shape of my life.,0
3384,asthma,Brazil,Fitness goals achieved for the day!,0
3385,asthma,Germany,"Had a nice cup of coffee, time to start the day!",0
3386,flu,India,Diagnosed with flu and really don't know what to do.,1
3387,cold,UK,Just finished a great workout at the gym Feeling energized,0
3388,asthma,Australia,Fitness goals achieved for the day!,0
3389,cold,France,This weather is perfect for a long run.,0
3390,cold,Canada,Enjoying a relaxing day without any worries!,0
3391,flu,Japan,I can't believe I have flu.,1
3392,flu,Brazil,Does anyone know good treatments for flu?,1
3393,medication,Japan,"I'm all about that gym life, workouts every day.",0
3394,fitness,Australia,My grandma just passed away from fitness. RIP,1
3395,diabetes,Canada,"Doctor prescribed me new diabetes medication, hoping it helps.",1
3396,medication,France,Feeling great after a relaxing yoga session.,0
3397,workout,Canada,I absolutely love my fitness journey so far.,0
3398,workout,India,"I'm all about that gym life, workouts every day.",0
3399,headache,Germany,Anyone else suffering from headache lately?,1
3400,allergy,South Africa,Fitness goals achieved for the day!,0
3401,cancer,Germany,I've been feeling really sick with cancer all week. Anyone have any tips?,1
3402,cancer,Canada,Just got diagnosed with cancer. Anyone have any advice?,1
3403,asthma,Japan,I absolutely love my fitness journey so far.,0
3404,medication,Germany,"Staying consistent with my workouts, it pays off.",0
3405,fitness,South Africa,Does anyone know good treatments for fitness?,1
3406,flu,UK,"This flu is getting worse each day, any suggestions?",1
3407,medication,UK,"Fitness is a lifestyle, and I'm fully embracing it.",0
3408,allergy,France,I absolutely love my fitness journey so far.,0
3409,medication,Canada,"I'm all about that gym life, workouts every day.",0
3410,allergy,Germany,I absolutely love my fitness journey so far.,0
3411,workout,UK,Just finished a great workout at the gym Feeling energized,0
3412,diabetes,Germany,Diagnosed with diabetes and really don't know what to do.,1
3413,workout,France,"Just had an amazing run, feeling so fit.",0
3414,cold,South Africa,"Just had an amazing run, feeling so fit.",0
3415,cold,Australia,Enjoying a relaxing day without any worries!,0
3416,workout,USA,This weather is perfect for a long run.,0
3417,headache,South Africa,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3418,flu,South Africa,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3419,headache,UK,My headache symptoms are just unbearable.,1
3420,cancer,USA,Anyone else suffering from cancer lately?,1
3421,diabetes,USA,"I've just been diagnosed with diabetes, looking for support.",1
3422,fitness,Japan,Anyone else suffering from fitness lately?,1
3423,cancer,USA,I've been feeling really sick with cancer all week. Anyone have any tips?,1
3424,flu,Japan,"I've just been diagnosed with flu, looking for support.",1
3425,allergy,India,Fitness goals achieved for the day!,0
3426,medication,Canada,This weather is perfect for a long run.,0
3427,headache,Brazil,Diagnosed with headache and really don't know what to do.,1
3428,flu,Canada,Just got diagnosed with flu. Anyone have any advice?,1
3429,headache,Canada,"I've just been diagnosed with headache, looking for support.",1
3430,medication,Germany,Enjoying a relaxing day without any worries!,0
3431,flu,India,"This flu is getting worse each day, any suggestions?",1
3432,cold,UK,Just finished a great workout at the gym Feeling energized,0
3433,asthma,Australia,Fitness goals achieved for the day!,0
3434,workout,Australia,This weather is perfect for a long run.,0
3435,allergy,Japan,"Fitness is a lifestyle, and I'm fully embracing it.",0
3436,asthma,Japan,Loving this healthy lifestyle I've been following.,0
3437,diabetes,UK,"Ugh, I've had a diabetes all day. Anyone know any good remedies?",1
3438,allergy,France,Just finished a great workout at the gym Feeling energized,0
3439,headache,Brazil,My headache symptoms are just unbearable.,1
3440,diabetes,Germany,"This diabetes is getting worse each day, any suggestions?",1
3441,asthma,Canada,Fitness goals achieved for the day!,0
3442,diabetes,Germany,"I've just been diagnosed with diabetes, looking for support.",1
3443,allergy,France,Getting into the best shape of my life.,0
3444,headache,UK,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
3445,flu,South Africa,Diagnosed with flu and really don't know what to do.,1
3446,flu,UK,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3447,flu,South Africa,I can't believe I have flu.,1
3448,diabetes,South Africa,Finally got medication for my diabetes.,1
3449,allergy,Australia,Feeling great after a relaxing yoga session.,0
3450,flu,South Africa,I can't believe I have flu.,1
3451,cold,Japan,Loving this healthy lifestyle I've been following.,0
3452,medication,Japan,"Staying consistent with my workouts, it pays off.",0
3453,medication,Germany,Fitness goals achieved for the day!,0
3454,diabetes,South Africa,Having a rough time dealing with diabetes.,1
3455,workout,India,Just finished a great workout at the gym Feeling energized,0
3456,flu,UK,Having a rough time dealing with flu.,1
3457,allergy,UK,"Just had an amazing run, feeling so fit.",0
3458,allergy,UK,Getting into the best shape of my life.,0
3459,asthma,Australia,Feeling great after a relaxing yoga session.,0
3460,fitness,USA,Anyone else suffering from fitness lately?,1
3461,allergy,USA,Fitness goals achieved for the day!,0
3462,flu,Australia,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
3463,flu,France,Diagnosed with flu and really don't know what to do.,1
3464,headache,Japan,Diagnosed with headache and really don't know what to do.,1
3465,asthma,India,Enjoying a relaxing day without any worries!,0
3466,allergy,Japan,"I'm all about that gym life, workouts every day.",0
3467,fitness,UK,"Doctor prescribed me new fitness medication, hoping it helps.",1
3468,cancer,Australia,I've been feeling really sick with cancer all week. Anyone have any tips?,1
3469,cold,Japan,Enjoying a relaxing day without any worries!,0
3470,fitness,Canada,Diagnosed with fitness and really don't know what to do.,1
3471,flu,Australia,"This flu is getting worse each day, any suggestions?",1
3472,medication,South Africa,Enjoying a relaxing day without any worries!,0
3473,headache,Australia,I can't believe I have headache.,1
3474,allergy,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
3475,workout,Japan,Fitness goals achieved for the day!,0
3476,fitness,India,I've been feeling really sick with fitness all week. Anyone have any tips?,1
3477,workout,Canada,Getting into the best shape of my life.,0
3478,cold,Canada,I absolutely love my fitness journey so far.,0
3479,diabetes,Australia,My grandma just passed away from diabetes. RIP,1
3480,fitness,UK,Diagnosed with fitness and really don't know what to do.,1
3481,medication,Japan,Enjoying a relaxing day without any worries!,0
3482,workout,France,Getting into the best shape of my life.,0
3483,diabetes,South Africa,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
3484,medication,France,Feeling great after a relaxing yoga session.,0
3485,asthma,Brazil,"Staying consistent with my workouts, it pays off.",0
3486,allergy,Brazil,"Loving the new place I moved into, feels great!",0
3487,medication,India,This weather is perfect for a long run.,0
3488,medication,Brazil,"I'm all about that gym life, workouts every day.",0
3489,allergy,South Africa,I absolutely love my fitness journey so far.,0
3490,asthma,France,This weather is perfect for a long run.,0
3491,flu,Germany,Diagnosed with flu and really don't know what to do.,1
3492,cancer,Canada,My cancer symptoms are just unbearable.,1
3493,flu,Germany,My flu symptoms are just unbearable.,1
3494,fitness,Australia,My fitness symptoms are just unbearable.,1
3495,asthma,France,"Had a nice cup of coffee, time to start the day!",0
3496,headache,Japan,I've been feeling really sick with headache all week. Anyone have any tips?,1
3497,workout,France,"Just had an amazing run, feeling so fit.",0
3498,fitness,India,"This fitness is getting worse each day, any suggestions?",1
3499,diabetes,USA,"Ugh, I've had a diabetes all day. Anyone know any good remedies?",1
3500,workout,UK,Fitness goals achieved for the day!,0
3501,asthma,South Africa,"Staying consistent with my workouts, it pays off.",0
3502,diabetes,USA,Does anyone know good treatments for diabetes?,1
3503,cancer,South Africa,Finally got medication for my cancer.,1
3504,medication,Germany,Getting into the best shape of my life.,0
3505,allergy,Canada,"I'm all about that gym life, workouts every day.",0
3506,asthma,France,This weather is perfect for a long run.,0
3507,asthma,USA,"Had a nice cup of coffee, time to start the day!",0
3508,medication,South Africa,Feeling great after a relaxing yoga session.,0
